scenario,height_m,sir_db
Ground 0 m,0.0,21.474842062037073
Ground 0 m,0.0,20.806015885733657
Ground 0 m,0.0,39.10963831540744
Ground 0 m,0.0,21.837478810846736
Ground 0 m,0.0,56.12204130820529
Ground 0 m,0.0,31.027245431442022
Ground 0 m,0.0,-10.320878728162544
Ground 0 m,0.0,35.40956590346314
Ground 0 m,0.0,31.379221113460794
Ground 0 m,0.0,30.870111775289743
Ground 0 m,0.0,29.971432811278117
Ground 0 m,0.0,20.52092007638628
Ground 0 m,0.0,55.637469213313466
Ground 0 m,0.0,1.2540677246031402
Ground 0 m,0.0,19.666417662319
Ground 0 m,0.0,11.554972359195437
Ground 0 m,0.0,39.38022365217669
Ground 0 m,0.0,75.50352987689307
Ground 0 m,0.0,30.16195058226057
Ground 0 m,0.0,3.5476661859656766
Ground 0 m,0.0,59.53307748832994
Ground 0 m,0.0,21.30159045220013
Ground 0 m,0.0,-2.45737460991695
Ground 0 m,0.0,28.937472769629128
Ground 0 m,0.0,33.354644800610885
Ground 0 m,0.0,43.352398530309486
Ground 0 m,0.0,23.545516506987543
Ground 0 m,0.0,76.48078150257534
Ground 0 m,0.0,29.574275093737818
Ground 0 m,0.0,4.692709463277625
Ground 0 m,0.0,79.3988550363852
Ground 0 m,0.0,35.500819254412164
Ground 0 m,0.0,13.368539102901098
Ground 0 m,0.0,20.234099948525074
Ground 0 m,0.0,-5.9559655185297755
Ground 0 m,0.0,37.78533583870694
Ground 0 m,0.0,28.28146963299426
Ground 0 m,0.0,23.40156535910033
Ground 0 m,0.0,59.22420590268356
Ground 0 m,0.0,28.707291880489855
Ground 0 m,0.0,34.43893342749909
Ground 0 m,0.0,55.16200010412328
Ground 0 m,0.0,11.076710533763158
Ground 0 m,0.0,29.24406213167825
Ground 0 m,0.0,27.419954100667816
Ground 0 m,0.0,15.98886067179315
Ground 0 m,0.0,77.80668318816008
Ground 0 m,0.0,41.681149648978824
Ground 0 m,0.0,21.945081394670318
Ground 0 m,0.0,21.530201617325744
Ground 0 m,0.0,-9.42903277063056
Ground 0 m,0.0,22.327911934114777
Ground 0 m,0.0,-7.969229129080665
Ground 0 m,0.0,17.31348852693065
Ground 0 m,0.0,25.988490231989747
Ground 0 m,0.0,-9.191757830104772
Ground 0 m,0.0,58.42959246732511
Ground 0 m,0.0,28.19684467051244
Ground 0 m,0.0,32.76133276544717
Ground 0 m,0.0,40.288286759590875
Ground 0 m,0.0,-10.96820001378414
Ground 0 m,0.0,3.2678179794688553
Ground 0 m,0.0,12.607875634232368
Ground 0 m,0.0,51.34548420745779
Ground 0 m,0.0,32.7787771698656
Ground 0 m,0.0,33.766771442824954
Ground 0 m,0.0,16.788785875251325
Ground 0 m,0.0,25.577765646145036
Ground 0 m,0.0,83.80601200244676
Ground 0 m,0.0,29.04819273404076
Ground 0 m,0.0,27.643156604697694
Ground 0 m,0.0,30.222167956058506
Ground 0 m,0.0,10.500714506090514
Ground 0 m,0.0,78.00125959223888
Ground 0 m,0.0,16.605754525637117
Ground 0 m,0.0,29.940051989919606
Ground 0 m,0.0,21.12277437414315
Ground 0 m,0.0,-18.442251679975914
Ground 0 m,0.0,18.90378356763368
Ground 0 m,0.0,38.58519497364248
Ground 0 m,0.0,21.08577935308134
Ground 0 m,0.0,23.583472023845165
Ground 0 m,0.0,13.352015526789103
Ground 0 m,0.0,46.674706899674874
Ground 0 m,0.0,15.288698254367585
Ground 0 m,0.0,72.07571520053506
Ground 0 m,0.0,54.11085933777149
Ground 0 m,0.0,40.89580519744766
Ground 0 m,0.0,16.00442122505698
Ground 0 m,0.0,2.589837987502768
Ground 0 m,0.0,66.25560899302057
Ground 0 m,0.0,69.00008050985609
Ground 0 m,0.0,31.727205184229348
Ground 0 m,0.0,58.88874924936111
Ground 0 m,0.0,12.018006201660494
Ground 0 m,0.0,-11.833764114083769
Ground 0 m,0.0,37.48584479373859
Ground 0 m,0.0,70.4449451077399
Ground 0 m,0.0,7.021609573446325
Ground 0 m,0.0,33.047894061486524
Ground 0 m,0.0,24.094972547052787
Ground 0 m,0.0,38.273799159156646
Ground 0 m,0.0,8.63985821665616
Ground 0 m,0.0,11.958916891851528
Ground 0 m,0.0,90.07493789595847
Ground 0 m,0.0,30.130987638895608
Ground 0 m,0.0,76.99828859890027
Ground 0 m,0.0,31.468602202894054
Ground 0 m,0.0,-2.862498798212104
Ground 0 m,0.0,18.798290916747252
Ground 0 m,0.0,86.93710703068581
Ground 0 m,0.0,-6.455341018609882
Ground 0 m,0.0,41.778565263169185
Ground 0 m,0.0,32.748460504925234
Ground 0 m,0.0,38.97166314516722
Ground 0 m,0.0,34.06205331333397
Ground 0 m,0.0,28.585943826786085
Ground 0 m,0.0,79.83355351354527
Ground 0 m,0.0,68.38857978165484
Ground 0 m,0.0,91.07179547183377
Ground 0 m,0.0,10.213858595261627
Ground 0 m,0.0,27.88773459778144
Ground 0 m,0.0,31.76388334771289
Ground 0 m,0.0,47.25237196930874
Ground 0 m,0.0,55.131591953341825
Ground 0 m,0.0,31.673944964501093
Ground 0 m,0.0,41.52334973785272
Ground 0 m,0.0,42.97526323205886
Ground 0 m,0.0,19.75660404993725
Ground 0 m,0.0,-2.906218620577825
Ground 0 m,0.0,-11.34112907233203
Ground 0 m,0.0,40.799610122421726
Ground 0 m,0.0,27.3263290907672
Ground 0 m,0.0,-14.646727127962233
Ground 0 m,0.0,39.246654191202765
Ground 0 m,0.0,52.86663386706414
Ground 0 m,0.0,29.257232386710292
Ground 0 m,0.0,8.119281480452798
Ground 0 m,0.0,25.00921657339702
Ground 0 m,0.0,35.54259405075342
Ground 0 m,0.0,20.410093471811138
Ground 0 m,0.0,73.34987480985612
Ground 0 m,0.0,36.213130041378975
Ground 0 m,0.0,40.01400675396694
Ground 0 m,0.0,22.82911598778845
Ground 0 m,0.0,25.424068922732946
Ground 0 m,0.0,38.67028836955858
Ground 0 m,0.0,-21.47776921757242
Ground 0 m,0.0,13.987783959253523
Ground 0 m,0.0,21.29556497650073
Ground 0 m,0.0,39.89194085507269
Ground 0 m,0.0,14.794758395798656
Ground 0 m,0.0,49.71721848943275
Ground 0 m,0.0,-7.924540576348208
Ground 0 m,0.0,23.977496479460505
Ground 0 m,0.0,30.164066196018503
Ground 0 m,0.0,34.499647149992654
Ground 0 m,0.0,71.12565422385626
Ground 0 m,0.0,24.87287077774491
Ground 0 m,0.0,62.66034676163491
Ground 0 m,0.0,-16.43480902893245
Ground 0 m,0.0,36.90924450617739
Ground 0 m,0.0,22.95511767929485
Ground 0 m,0.0,-7.366794359917767
Ground 0 m,0.0,29.081992107784412
Ground 0 m,0.0,-2.4186380305616155
Ground 0 m,0.0,93.71824429349488
Ground 0 m,0.0,45.818990326060344
Ground 0 m,0.0,29.807725031044075
Ground 0 m,0.0,15.28784799632099
Ground 0 m,0.0,-0.6053947965191564
Ground 0 m,0.0,15.208107660933418
Ground 0 m,0.0,27.446534538264437
Ground 0 m,0.0,34.119316134970774
Ground 0 m,0.0,75.0109755643204
Ground 0 m,0.0,36.23272021140902
Ground 0 m,0.0,-16.09139844498861
Ground 0 m,0.0,23.13117643866861
Ground 0 m,0.0,17.91415175177184
Ground 0 m,0.0,18.27195628656669
Ground 0 m,0.0,18.858393442485507
Ground 0 m,0.0,36.59653499032443
Ground 0 m,0.0,80.47537797719198
Ground 0 m,0.0,20.789428021303856
Ground 0 m,0.0,21.338649958129125
Ground 0 m,0.0,15.8354956423962
Ground 0 m,0.0,36.16487177882873
Ground 0 m,0.0,23.399433403968445
Ground 0 m,0.0,54.461878437580694
Ground 0 m,0.0,19.631431144520427
Ground 0 m,0.0,51.722163081485235
Ground 0 m,0.0,50.430564266752356
Ground 0 m,0.0,15.229311581382136
Ground 0 m,0.0,26.519580615986843
Ground 0 m,0.0,40.05205863611137
Ground 0 m,0.0,4.602562517936436
Ground 0 m,0.0,13.962757683964618
Ground 0 m,0.0,59.83960697533752
Ground 0 m,0.0,65.33392525152328
Ground 0 m,0.0,19.675070216565455
Ground 0 m,0.0,21.430296162518758
Ground 0 m,0.0,23.486170909066946
Ground 0 m,0.0,36.43630642579235
Ground 0 m,0.0,5.6982614749613845
Ground 0 m,0.0,14.113724865476943
Ground 0 m,0.0,31.629615018347085
Ground 0 m,0.0,43.54549013325477
Ground 0 m,0.0,29.334240808792373
Ground 0 m,0.0,2.5929199049527805
Ground 0 m,0.0,50.88394836744293
Ground 0 m,0.0,56.08078986077959
Ground 0 m,0.0,20.739718729579643
Ground 0 m,0.0,20.87148000054606
Ground 0 m,0.0,60.69458334505405
Ground 0 m,0.0,-9.234830963853849
Ground 0 m,0.0,-4.925581483160763
Ground 0 m,0.0,84.76818033224676
