step,time_s,x_m,y_m,altitude_m,serving_site_index,serving_sector_index,serving_beam_index,handover_flag,signal_power_dbm,interference_power_dbm,noise_power_dbm,sir_db,sinr_db,rate_bphz,serving_load,mean_neighbor_load,scheduled_users_serving,serving_measurement_dbm,best_neighbor_measurement_dbm,mean_serving_los_probability,mean_neighbor_los_probability,serving_los_state,mean_neighbor_los_state,serving_gis_covered,mean_neighbor_gis_covered,serving_gis_excess_loss_db,mean_neighbor_gis_excess_loss_db,coordination_active_flag,coordinated_interferer_count,serving_distance_3d_m,serving_gain_db
0,0.0,-1500.0,150.0,120.0,0,1,2,0,-63.26919236652489,-65.22051307029787,-93.98970004336019,1.9513207037729783,1.9455586477123201,0.0,0.4926856807921147,0.6480994084935333,4,-55.00806298679801,-56.003726008568094,0.7630858222768866,0.2411837339912511,1,0.95,1,1.0,0.0,1.6,0,0,1510.5668637965018,13.048607141733978
1,1.0,-1449.1525423728813,150.0,120.0,0,1,2,0,-67.0630254812775,-72.5014269395974,-93.98970004336019,5.438401458319877,5.407681536971257,0.0,0.40106965520569915,0.6376469978575389,8,-58.16918390115835,-58.59329615459047,0.7791566249731335,0.24062570438337588,1,0.95,1,1.0,0.0,1.6,1,2,1460.087442951889,12.759031637179397
2,2.0,-1398.3050847457628,150.0,120.0,0,1,2,0,-52.67834030213362,-72.1304036340101,-93.98970004336019,19.452063331876477,19.423850721175004,6.468843834724103,0.46823427158228914,0.6480298618302707,4,-50.57775451735012,-57.78689819760284,0.7791566249731335,0.24037194383401544,1,0.95,1,1.0,0.0,1.6,0,0,1409.6344774535899,12.448788452482088
3,3.0,-1347.457627118644,150.0,120.0,0,1,2,0,-71.44569552055705,-73.40068009595024,-93.98970004336019,1.9549845753931805,1.9172279546269624,0.0,0.5143156640949137,0.6611693488240319,4,-55.64295563796847,-50.99088379111406,0.7956642969255315,0.2406726393902745,1,0.95,1,1.0,0.0,1.6,1,2,1359.2109133170638,12.097784844387176
4,4.0,-1296.6101694915255,150.0,120.0,0,1,2,0,-60.56339039770869,-78.94591693938065,-93.98970004336019,18.38252654167196,18.248652885765136,6.0835040904851025,0.5671940267107367,0.6682489058205809,6,-54.01920904804567,-57.81154202814196,0.7956642969255315,0.23993685032746503,1,0.95,1,1.0,0.0,1.6,0,0,1308.820148694557,11.699769883282896
5,5.0,-1245.7627118644068,150.0,120.0,0,1,2,0,-58.95001608117691,-73.35882750235052,-93.98970004336019,14.408811421173606,14.371415355636103,4.825867165565495,0.39005134273787667,0.6687891346260875,4,-52.16563533403161,-58.79567528216586,0.8126475123526619,0.24014307456589132,1,0.95,1,1.0,0.0,1.6,0,0,1258.4661236091185,11.270029875794696
6,6.0,-1194.915254237288,150.0,120.0,0,1,2,0,-51.68949287634402,-59.82606543086919,-93.98970004336019,8.136572554525163,8.134907848267419,0.0,0.2632287414844461,0.6653057057517712,1,-53.335870651881976,-57.910137389272194,0.8126475123526619,0.23952191913993967,1,0.95,1,1.0,0.0,1.6,1,2,1208.1534318160766,10.804650433074608
7,7.0,-1144.0677966101694,150.0,120.0,0,1,2,0,-64.0060751325201,-64.33945318069254,-93.98970004336019,0.33337804817245437,0.3286734300963108,0.0,0.22243032297276114,0.6897624918612286,1,-58.476110421464526,-55.71524257604746,0.8301567021025378,0.23922397136457088,1,0.95,1,1.0,0.0,1.6,1,2,1157.8874613883888,10.299052498459663
8,8.0,-1093.2203389830509,150.0,120.0,0,1,2,0,-56.70304144923571,-70.21533136749034,-93.98970004336019,13.512289918254623,13.494116423410677,4.545777087522716,0.31840860692426765,0.6559435755482719,3,-57.07412735638327,-50.947757075936245,0.8301567021025378,0.2398747358280942,1,0.95,1,1.0,0.0,1.6,1,2,1107.674572952822,9.747846758634065
9,9.0,-1042.3728813559323,150.0,120.0,0,1,2,0,-56.61594403360496,-69.149451672244,-93.98970004336019,12.533507638639032,12.519282777453286,4.23740506734336,0.38757713075292416,0.6494984141981519,5,-52.82716774658333,-56.92647273469389,0.848259490324841,0.23937022834502156,1,0.95,1,1.0,0.0,1.6,0,0,1057.5223277956209,9.14464858924497
10,10.0,-991.5254237288136,150.0,120.0,0,1,2,0,-58.80781424112683,-72.89248839295053,-93.98970004336019,14.084674151823693,14.05107085423666,4.723339748231177,0.4986527583937125,0.6485027541994028,5,-54.271318811503505,-57.52926609932311,0.848259490324841,0.2392316883238365,1,0.95,1,1.0,0.0,1.6,1,2,1007.4397827664955,8.481840682126633
11,11.0,-940.6779661016949,150.0,120.0,0,1,2,0,-60.95675992512601,-65.97893523146806,-93.98970004336019,5.022175306342041,5.0153146644183995,0.0,0.5205849567864198,0.6790568671188644,2,-55.84440742032281,-55.85112273706661,0.848259490324841,0.2389244829720389,1,0.95,1,1.0,0.0,1.6,0,0,957.43787574402,7.750265588988393
12,12.0,-889.8305084745763,150.0,120.0,0,1,2,0,-64.47141246437965,-63.28530118502833,-93.98970004336019,-1.186111279351317,-1.189802413724541,0.0,0.5547873542097292,0.6641003475915224,4,-57.602411687909395,-55.05534966671968,0.8670491641125371,0.23865890027509584,1,0.95,1,1.0,0.0,1.6,1,2,907.5299354909032,6.956182605318421
13,13.0,-838.9830508474577,150.0,120.0,0,1,2,0,-64.2296313522071,-70.40984864041503,-93.98970004336019,6.180217288207949,6.161213130900716,0.0,0.5238035971424241,0.6218763616473216,9,-57.162292446512666,-58.057521147295205,0.8670491641125371,0.2382988026815806,1,0.95,1,1.0,0.0,1.6,1,2,857.732364790619,6.109357629037003
